MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22,Obs23,Obs24,Obs25
11,11,40,0.00014680978549362394,42,41,40,51,62,73,84,95,94,93,92,91,90,91,92,81,70,59,48,37,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,50,61,72,71,82,81,92,91,90,79,68,69,58,47,48,37,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,62,61,60,59,58,57,68,79,90,79,80,69,70,59,48,37,38,39,40,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,51,62,73,84,95,94,93,92,91,90,79,80,69,70,71,60,49,50,39,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,50,61,60,59,58,69,80,91,90,79,80,69,58,47,48,37,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,38,49,60,59,70,69,68,79,90,79,68,69,58,47,36,37,38,39,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,39,50,49,60,71,70,69,80,91,90,79,68,69,58,59,48,37,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,51,62,61,60,71,70,69,80,79,90,91,92,93,94,83,84,85,74,63,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,50,61,60,59,58,57,68,79,90,91,92,81,82,71,60,61,62,63,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,51,50,49,48,47,58,57,68,79,90,91,80,81,82,83,72,73,74,63,52,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,38,49,48,59,58,69,80,91,90,79,80,69,58,47,48,37,38,39,40,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,51,50,61,72,83,82,81,92,91,90,79,80,81,82,71,72,73,74,63,52,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,51,62,61,60,59,70,81,80,91,90,79,68,69,58,59,60,61,50,39,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,51,62,61,60,59,58,69,68,79,90,79,80,69,58,59,48,37,38,39,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,62,73,84,83,94,93,92,91,90,91,80,69,58,47,36,37,38,39,40,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,39,38,37,36,47,58,57,68,79,90,79,68,57,46,35,36,37,38,39,40,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,39,50,61,72,71,70,81,80,79,90,91,80,69,58,47,36,37,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,38,49,48,47,58,69,80,79,90,79,80,69,58,59,60,61,62,51,40,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,39,50,49,48,47,58,57,68,79,90,91,80,69,70,59,48,37,38,39,40,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,39,50,61,72,83,94,93,92,91,90,91,92,81,82,71,72,73,62,51,40,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,51,50,61,72,71,70,69,68,79,90,79,80,81,70,59,60,61,62,51,40,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,51,62,73,84,83,94,93,92,91,90,91,80,69,70,59,48,37,38,39,40,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,51,62,61,72,83,94,93,92,91,90,91,92,93,94,95,84,85,74,63,52,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,39,50,49,60,59,70,81,80,79,90,79,68,57,46,47,48,49,50,51,52,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,38,49,48,59,70,69,68,79,90,79,80,81,82,71,72,73,74,63,52,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,39,38,37,48,59,70,81,92,91,90,91,80,69,58,47,48,37,38,39,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,38,37,48,47,46,57,68,79,90,91,92,93,82,71,72,73,74,63,52,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,38,49,48,47,58,57,68,79,90,91,80,69,70,71,60,61,62,51,52,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,51,50,61,72,83,82,93,92,91,90,79,68,57,58,47,48,37,38,39,40,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,39,50,49,60,71,82,81,92,91,90,91,92,81,70,59,48,37,38,39,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,51,62,61,72,83,94,93,92,91,90,79,80,81,70,59,60,49,38,39,40,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,39,38,49,60,71,70,81,92,91,90,79,80,69,70,71,72,73,62,51,52,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,62,61,60,71,82,93,92,91,90,91,92,81,70,59,60,49,38,39,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,38,49,60,59,58,57,68,79,90,91,92,81,70,59,60,49,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,51,62,73,84,95,94,93,92,91,90,79,68,69,70,59,48,49,50,51,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,50,61,60,71,82,81,92,91,90,91,92,81,82,83,72,73,74,63,52,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,50,49,48,59,70,81,80,79,90,79,80,69,58,47,48,49,38,39,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,51,62,73,72,71,70,69,68,79,90,91,80,69,58,47,48,49,38,39,40,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,50,61,72,71,82,93,92,91,90,91,92,81,82,83,84,85,74,63,52,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,39,50,49,60,59,58,57,68,79,90,79,68,57,58,47,48,49,38,39,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,50,49,48,59,58,57,68,79,90,91,80,81,70,59,48,37,38,39,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,50,49,60,71,82,93,92,91,90,79,68,57,58,47,36,37,38,39,40,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,39,38,49,48,47,58,69,80,91,90,79,80,69,70,59,48,37,38,39,40,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,39,38,37,48,47,58,69,68,79,90,79,80,69,58,47,48,37,38,39,40,41,42,43
11,11,40,9.777609391010535e-05,42,41,40,39,38,37,48,47,58,57,68,79,90,79,80,69,58,47,48,37,38,39,40,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,62,73,84,83,94,93,92,91,90,79,68,69,70,59,48,49,50,51,52,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,39,50,61,72,83,82,93,92,91,90,79,80,81,70,59,60,61,62,63,52,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,51,62,61,60,71,82,93,92,91,90,79,80,69,58,59,48,49,38,39,40,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,39,50,49,48,59,70,69,68,79,90,79,68,69,70,71,60,61,62,51,52,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,62,61,72,83,82,93,92,91,90,91,80,81,70,71,60,61,62,63,52,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,39,50,49,60,71,70,81,80,91,90,79,68,57,58,47,36,37,38,39,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,50,61,60,71,70,69,68,79,90,91,80,69,58,59,60,61,50,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,50,61,60,71,70,69,68,79,90,79,80,81,70,59,60,49,50,51,40,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,51,50,49,48,59,58,57,68,79,90,79,68,69,58,59,48,37,38,39,40,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,51,62,61,60,71,82,81,92,91,90,79,68,69,58,59,48,37,38,39,40,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,39,50,61,72,71,70,81,80,79,90,91,92,81,82,71,60,49,38,39,40,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,50,61,72,83,94,93,92,91,90,91,80,81,82,71,72,61,50,39,40,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,62,61,72,71,82,81,80,79,90,91,80,81,70,59,60,49,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,50,49,48,47,46,57,68,79,90,91,80,69,58,47,48,49,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,62,73,72,71,82,81,80,91,90,79,80,69,70,71,60,61,50,39,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,51,62,73,72,71,70,81,80,79,90,91,80,69,70,59,48,37,38,39,40,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,51,50,49,48,59,70,81,80,79,90,79,68,57,58,59,48,37,38,39,40,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,39,50,61,72,83,94,93,92,91,90,91,80,81,82,71,72,73,74,63,52,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,50,49,48,59,58,69,80,91,90,79,80,69,70,59,48,37,38,39,40,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,39,38,37,36,47,58,69,68,79,90,79,80,69,70,71,72,61,50,51,52,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,51,62,73,72,83,82,81,80,79,90,79,80,81,70,71,72,61,62,63,52,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,39,38,49,60,71,70,69,80,91,90,91,92,81,70,59,60,61,62,51,40,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,51,62,61,60,59,70,69,68,79,90,91,92,93,94,83,84,85,74,63,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,51,50,61,60,59,58,69,80,79,90,79,68,69,70,71,72,61,50,51,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,39,50,61,72,83,82,93,92,91,90,79,80,81,82,83,84,73,62,63,52,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,51,50,49,48,47,58,69,68,79,90,91,92,81,70,71,72,61,50,39,40,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,39,38,49,60,59,70,81,92,91,90,79,80,81,70,59,60,61,62,63,52,41,42,43
11,11,40,9.631964762544639e-05,42,41,40,51,62,61,60,59,58,57,68,79,90,91,80,69,58,47,36,37,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,50,49,60,71,82,81,80,91,90,91,80,69,70,71,72,61,62,63,52,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,51,50,61,60,71,82,81,92,91,90,79,68,69,58,47,48,37,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,51,62,73,72,71,82,93,92,91,90,91,80,81,70,59,60,61,62,63,52,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,51,62,61,60,71,70,69,80,91,90,79,80,69,70,71,72,73,62,51,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,50,61,72,71,82,93,92,91,90,91,92,81,82,83,84,85,74,63,52,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,62,73,84,83,82,93,92,91,90,91,92,93,82,83,72,73,62,63,52,41,42,43
11,11,40,9.418352640794656e-05,42,41,40,39,50,61,60,59,70,69,68,79,90,91,80,69,58,47,36,37,38,39,40,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,39,50,61,72,71,70,81,92,91,90,79,68,57,58,47,36,37,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,50,49,48,47,46,57,68,79,90,91,80,69,58,59,48,49,38,39,40,41,42,43
11,11,40,0.00010088317931737782,42,41,40,51,62,73,72,71,70,69,68,79,90,79,80,69,58,47,36,37,38,39,40,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,39,50,61,60,59,70,81,80,79,90,91,92,93,94,95,84,73,62,51,52,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,51,62,61,72,71,70,69,80,91,90,91,80,81,70,59,48,49,38,39,40,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,51,62,61,60,59,58,69,68,79,90,79,80,69,70,71,72,61,62,51,40,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,51,50,49,48,59,70,69,68,79,90,91,92,81,82,71,72,61,50,51,52,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,39,50,49,48,47,46,57,68,79,90,91,80,69,58,59,60,49,50,39,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,50,49,48,47,58,57,68,79,90,91,80,69,58,59,60,61,62,63,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,50,49,48,47,58,57,68,79,90,91,92,81,82,83,72,73,62,63,52,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,39,38,49,48,47,58,69,68,79,90,91,80,81,82,83,84,73,74,63,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,50,49,48,47,58,57,68,79,90,91,80,81,82,83,84,85,74,63,52,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,51,62,61,60,71,82,81,92,91,90,79,68,57,58,47,48,49,38,39,40,41,42,43
11,11,40,9.971802228965064e-05,42,41,40,51,62,73,84,95,94,93,92,91,90,91,80,81,70,71,60,61,62,51,40,41,42,43
11,11,40,0.00019487251288736988,42,41,40,39,50,61,60,59,58,57,68,79,90,79,68,57,58,47,36,37,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,51,50,61,60,71,82,93,92,91,90,91,80,69,58,59,48,37,38,39,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,51,62,73,72,83,94,93,92,91,90,91,92,81,70,71,72,61,50,51,40,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,51,50,61,72,83,82,81,80,79,90,79,68,69,58,59,48,49,50,39,40,41,42,43
11,11,40,9.894125093783253e-05,42,41,40,51,62,61,60,71,82,93,92,91,90,79,68,69,70,59,48,37,38,39,40,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,39,38,49,60,71,70,81,80,91,90,79,80,69,58,59,60,61,50,39,40,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,39,38,49,48,59,70,69,68,79,90,79,68,69,58,59,60,61,50,51,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,39,38,37,36,35,46,57,68,79,90,79,80,81,70,59,60,61,62,63,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,38,49,48,59,58,69,80,91,90,79,80,69,70,71,72,61,50,39,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,51,62,73,84,83,94,93,92,91,90,91,92,81,82,83,72,61,62,63,52,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,39,50,49,48,47,46,57,68,79,90,91,92,93,94,95,84,73,62,63,52,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,62,73,84,83,82,81,80,79,90,91,92,81,70,71,60,49,50,51,40,41,42,43
11,11,40,9.826157600499168e-05,42,41,40,39,38,49,60,59,58,57,68,79,90,79,68,57,46,35,36,37,38,39,40,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,39,50,49,60,71,70,69,68,79,90,79,68,57,58,47,48,37,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,62,73,72,83,82,81,80,79,90,91,92,81,70,59,48,37,38,39,40,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,50,49,48,47,58,69,68,79,90,79,80,81,82,71,72,73,62,51,52,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,38,49,60,59,58,69,68,79,90,91,80,69,70,71,60,61,62,51,40,41,42,43
11,11,40,9.476610492181014e-05,42,41,40,39,38,37,36,47,46,57,68,79,90,79,68,57,46,47,48,37,38,39,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,51,50,61,72,83,82,93,92,91,90,91,92,81,70,59,48,37,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,51,50,49,60,71,82,81,92,91,90,79,68,69,70,71,72,61,62,51,52,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,50,49,60,59,58,69,68,79,90,79,80,69,70,71,60,49,50,51,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,50,61,72,83,94,93,92,91,90,91,92,81,70,59,60,61,50,51,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,38,37,48,47,46,57,68,79,90,91,92,93,94,83,72,73,62,51,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,50,49,60,59,58,57,68,79,90,79,80,81,70,59,48,37,38,39,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,39,50,61,60,71,70,81,92,91,90,79,80,81,70,59,48,49,38,39,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,62,61,72,71,82,81,92,91,90,91,92,93,82,71,72,61,62,63,52,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,39,38,49,48,47,58,69,68,79,90,91,80,81,70,71,72,61,62,63,52,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,39,50,61,60,59,70,81,92,91,90,79,68,69,58,59,48,49,38,39,40,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,51,50,61,60,71,70,69,80,91,90,79,80,81,70,71,72,61,62,51,52,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,51,62,61,72,83,94,93,92,91,90,79,80,69,58,47,36,37,38,39,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,51,62,73,84,83,94,93,92,91,90,79,68,57,58,59,48,49,50,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,39,50,49,48,59,70,69,68,79,90,91,80,69,58,59,48,37,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,38,49,48,47,58,57,68,79,90,91,80,69,58,47,36,37,38,39,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,50,49,48,47,58,69,80,79,90,91,92,81,70,71,60,49,38,39,40,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,39,38,49,48,59,58,69,68,79,90,91,80,81,82,71,72,73,62,63,52,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,51,62,61,72,83,94,93,92,91,90,91,92,81,70,59,60,49,38,39,40,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,51,62,61,72,71,82,81,80,79,90,79,80,69,58,47,48,49,38,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,51,62,61,60,71,70,69,68,79,90,79,68,69,70,59,48,49,50,51,40,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,39,50,61,72,83,82,93,92,91,90,79,80,69,58,47,36,37,38,39,40,41,42,43
11,11,40,0.00015117912434760083,42,41,40,51,62,73,84,95,94,93,92,91,90,91,92,93,94,83,84,85,74,63,52,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,39,50,49,60,59,58,57,68,79,90,79,68,69,58,59,60,49,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,39,38,49,60,59,58,69,80,79,90,79,80,69,70,59,48,49,50,51,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,50,49,48,47,46,57,68,79,90,79,80,69,58,59,60,61,62,63,52,41,42,43
11,11,40,9.612545478749185e-05,42,41,40,51,50,61,60,71,82,93,92,91,90,79,80,81,70,71,60,61,62,51,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,51,50,49,48,47,46,57,68,79,90,91,80,69,70,71,60,49,50,39,40,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,51,62,61,60,71,70,69,80,91,90,91,92,93,82,83,84,73,74,63,52,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,39,50,49,60,71,70,81,80,91,90,79,68,69,58,47,48,37,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,50,61,72,83,94,93,92,91,90,91,92,81,82,83,84,73,62,51,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,51,62,61,72,71,82,81,92,91,90,79,68,69,70,59,48,37,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,39,50,49,60,59,70,81,92,91,90,79,68,69,70,71,72,61,50,51,52,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,51,50,49,60,59,58,57,68,79,90,79,68,69,70,59,48,37,38,39,40,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,39,38,49,48,59,70,81,92,91,90,91,92,93,82,71,60,61,50,51,40,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,51,62,61,60,59,58,69,80,79,90,91,80,81,82,83,84,73,62,51,40,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,39,50,61,60,59,58,57,68,79,90,79,68,69,70,59,48,49,50,51,52,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,39,38,49,48,59,58,69,80,79,90,79,80,69,70,59,60,61,62,63,52,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,50,49,60,71,82,93,92,91,90,91,80,69,58,59,48,49,38,39,40,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,51,50,61,72,71,82,81,92,91,90,91,92,81,70,71,72,61,62,51,40,41,42,43
11,11,40,9.932963661374159e-05,42,41,40,39,38,49,48,59,58,57,68,79,90,79,80,69,58,59,60,49,38,39,40,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,51,50,49,48,47,46,57,68,79,90,79,68,57,58,59,60,61,62,63,52,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,50,49,48,47,58,57,68,79,90,91,80,69,58,59,48,49,38,39,40,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,38,49,60,71,82,81,92,91,90,79,80,69,70,59,48,37,38,39,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,51,50,49,60,71,82,93,92,91,90,91,80,81,82,83,72,61,50,39,40,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,51,62,61,72,83,94,93,92,91,90,91,80,69,70,71,60,49,50,39,40,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,51,50,61,72,83,82,81,80,79,90,79,80,81,82,71,60,49,50,39,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,51,62,73,72,83,94,93,92,91,90,79,68,69,58,59,60,61,50,39,40,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,51,50,49,48,59,58,69,68,79,90,79,80,81,82,83,84,85,74,63,52,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,38,37,48,59,58,57,68,79,90,91,80,69,58,59,60,61,62,51,52,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,39,50,61,60,71,70,81,80,91,90,91,80,81,70,59,48,37,38,39,40,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,39,38,49,48,59,58,69,80,79,90,91,80,81,82,71,72,61,62,51,52,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,39,38,49,60,71,70,81,80,79,90,91,80,81,70,71,72,73,74,63,52,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,38,49,60,59,70,69,80,91,90,79,68,57,46,47,36,37,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,62,73,72,83,82,81,92,91,90,91,92,93,94,95,84,85,74,63,52,41,42,43
11,11,40,0.00010214543276408225,42,41,40,39,50,61,60,71,82,93,92,91,90,91,80,69,58,59,48,37,38,39,40,41,42,43
11,11,40,4.942207725942763e-05,42,41,40,39,50,61,72,83,82,81,92,91,90,91,80,81,70,71,60,49,38,39,40,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,39,50,49,60,59,70,81,80,79,90,91,92,93,82,83,72,61,50,39,40,41,42,43
11,11,40,0.00014525624278998768,42,41,40,51,62,73,84,95,94,93,92,91,90,79,80,69,70,71,60,61,50,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,50,61,72,83,82,93,92,91,90,91,80,69,58,59,60,61,50,51,52,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,39,38,49,48,59,58,57,68,79,90,79,80,69,70,71,72,61,50,51,52,41,42,43
11,11,40,4.864530590760952e-05,42,41,40,39,50,49,48,47,46,57,68,79,90,91,92,81,70,71,60,61,62,51,40,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,39,38,49,48,47,46,57,68,79,90,79,80,81,70,71,72,73,62,63,52,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,39,38,37,36,35,46,57,68,79,90,91,92,93,82,83,84,73,62,51,52,41,42,43
11,11,40,4.903369158351858e-05,42,41,40,51,50,49,60,71,82,81,80,91,90,79,68,69,70,59,60,49,38,39,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,62,61,72,83,82,93,92,91,90,79,68,57,58,47,48,37,38,39,40,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,39,50,49,60,59,58,69,80,79,90,91,92,81,82,71,60,61,62,51,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,51,50,49,60,59,58,69,68,79,90,79,68,69,70,59,60,49,50,39,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,50,61,60,59,70,69,68,79,90,91,80,81,70,71,60,61,50,51,52,41,42,43
11,11,40,0.00010010640796555971,42,41,40,39,50,49,48,59,70,81,80,79,90,79,68,57,58,59,48,49,38,39,40,41,42,43
11,11,40,4.825692023170046e-05,42,41,40,51,50,61,60,71,70,81,92,91,90,91,80,69,70,59,48,37,38,39,40,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,51,62,61,72,71,70,81,80,79,90,91,92,81,70,59,60,49,38,39,40,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,51,50,61,60,71,82,81,80,91,90,79,68,57,58,59,48,37,38,39,40,41,42,43
11,11,40,5.1072716382041126e-05,42,41,40,39,38,49,48,59,70,81,92,91,90,79,68,57,46,47,48,37,38,39,40,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,62,61,60,59,58,57,68,79,90,79,68,69,58,59,60,61,50,39,40,41,42,43
11,11,40,4.78685345557914e-05,42,41,40,51,50,61,60,59,58,69,68,79,90,79,80,69,58,47,48,49,38,39,40,41,42,43
11,11,40,5.1461102057950186e-05,42,41,40,51,62,61,72,83,82,93,92,91,90,79,80,69,70,59,60,49,50,39,40,41,42,43
11,11,40,4.913078800249584e-05,42,41,40,39,50,61,60,71,82,93,92,91,90,79,80,69,70,71,60,49,50,51,52,41,42,43
11,11,40,4.981046293533669e-05,42,41,40,51,50,61,60,59,58,69,68,79,90,91,80,81,70,71,60,49,50,51,52,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,62,61,72,71,82,93,92,91,90,79,80,81,70,59,60,49,50,39,40,41,42,43
11,11,40,0.00015040235299578272,42,41,40,39,38,37,36,35,46,57,68,79,90,79,80,69,58,47,48,37,38,39,40,41,42,43
11,11,40,9.661093688237818e-05,42,41,40,39,38,37,48,47,58,57,68,79,90,79,80,69,58,59,60,49,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,51,50,61,60,59,70,81,80,91,90,91,92,93,82,83,72,61,50,51,52,41,42,43
11,11,40,9.457191208385561e-05,42,41,40,39,50,49,48,47,46,57,68,79,90,79,68,57,58,59,48,37,38,39,40,41,42,43
11,11,40,9.719351539624177e-05,42,41,40,39,50,61,72,71,82,81,92,91,90,91,92,81,70,59,48,37,38,39,40,41,42,43
11,11,40,4.8451113069654985e-05,42,41,40,51,50,49,48,59,70,69,80,79,90,91,80,69,58,59,48,37,38,39,40,41,42,43
11,11,40,4.8159823812723196e-05,42,41,40,39,50,61,60,71,70,69,80,91,90,91,80,81,70,59,60,61,50,51,52,41,42,43
11,11,40,4.631499185215516e-05,42,41,40,51,50,61,72,71,70,81,80,79,90,91,80,69,58,59,60,61,62,63,52,41,42,43
